StringID		Type		X		Y		Demand		ServiceBy
D0		d		-19.0		-23.2		0.0		-
C1		c		12.5		-5.4		2.34		D/T
C2		c		-26.0		-26.1		4.27		D/T
C3		c		-26.1		2.8		1.12		D/T
C4		c		-16.3		7.0		4.43		D/T
C5		c		7.5		-16.9		4.83		D/T
C6		c		25.3		11.8		3.59		D/T
C7		c		-8.0		-6.2		0.82		D/T
C8		c		-9.0		19.6		4.53		D/T
C9		c		-21.8		-29.4		4.88		D/T
C10		c		-5.2		-11.6		4.84		D/T
C11		c		29.2		24.0		2.94		D/T
C12		c		-10.9		4.5		2.96		D/T
C13		c		7.1		12.5		4.32		D/T
C14		c		18.9		-29.3		2.61		D/T
C15		c		-24.0		-14.7		3.02		D/T
C16		c		10.3		-6.9		1.79		D/T
C17		c		29.2		-26.9		1.56		D/T
C18		c		27.8		-1.7		3.19		D/T
C19		c		-15.8		23.4		0.84		D/T
C20		c		-23.5		11.7		3.88		D/T
C21		c		-21.4		-12.3		4.98		D/T
C22		c		-9.6		17.1		2.03		D/T
C23		c		-21.8		-23.4		2.24		D/T
C24		c		18.8		7.0		1.06		D/T
C25		c		0.0		3.9		2.4		D/T
C26		c		-6.3		-11.9		2.14		D/T
C27		c		-18.4		3.9		1.48		D/T
C28		c		-16.4		-16.8		3.91		D/T
C29		c		16.0		-21.4		4.95		D/T
C30		c		29.4		-1.9		3.21		D/T
C31		c		29.2		23.1		4.07		D/T
C32		c		-6.2		17.7		4.57		D/T
C33		c		-5.0		6.7		3.37		D/T
C34		c		-15.0		12.2		2.89		D/T
C35		c		11.2		-26.3		0.67		D/T
C36		c		6.4		-12.3		2.45		D/T
C37		c		13.9		-18.2		0.81		D/T
C38		c		-15.6		-23.5		0.58		D/T
C39		c		-5.9		-10.5		3.65		D/T
C40		c		22.6		1.3		2.49		D/T
C41		c		28.1		-9.0		3.8		D/T
C42		c		-5.2		6.9		3.28		D/T
C43		c		2.2		17.8		1.74		D/T
C44		c		28.3		-21.4		4.01		D/T
C45		c		2.2		22.7		0.86		D/T
C46		c		1.3		-24.7		3.43		D/T
C47		c		26.0		8.8		2.83		D/T
C48		c		-14.7		0.2		4.03		D/T
C49		c		-16.0		-11.3		1.31		D/T
C50		c		-29.2		-11.1		1.35		D/T
C51		c		10.5		29.6		4.33		D/T
C52		c		11.8		15.3		0.81		D/T
C53		c		-14.6		29.8		3.35		D/T
C54		c		-17.5		-17.5		3.44		D/T
C55		c		19.0		27.9		1.54		D/T
C56		c		28.6		-9.4		1.54		D/T
C57		c		-1.0		3.9		2.81		D/T
C58		c		19.0		12.9		4.09		D/T
C59		c		-28.5		-15.9		2.43		D/T
C60		c		7.8		-5.0		4.62		D/T
C61		c		-18.5		10.0		3.35		D/T
C62		c		17.6		-5.8		2.61		D/T
C63		c		-25.2		-8.7		2.35		D/T
C64		c		3.4		-12.0		4.28		D/T
C65		c		7.5		0.5		1.67		D/T
C66		c		17.5		-26.1		1.22		D/T
C67		c		-21.1		-13.2		0.84		D/T
