StringID		Type		X		Y		Demand		ServiceBy
D0		d		16.2		-7.6		0.0		-
C1		c		5.0		13.5		2.43		D/T
C2		c		13.0		-18.9		1.87		D/T
C3		c		-28.3		-16.4		5.0		D/T
C4		c		-28.4		-27.8		0.54		D/T
C5		c		-9.0		-22.1		4.24		D/T
C6		c		16.0		-16.3		0.8		D/T
C7		c		28.1		-4.5		3.18		D/T
C8		c		-21.5		-8.9		2.81		D/T
C9		c		19.1		-24.1		0.59		D/T
C10		c		-23.8		-26.8		5.0		D/T
C11		c		-2.9		12.1		1.67		D/T
C12		c		-11.5		-10.2		3.38		D/T
C13		c		-8.3		-18.7		1.55		D/T
C14		c		-13.8		-18.0		2.45		D/T
C15		c		10.0		28.6		4.06		D/T
C16		c		25.5		-19.1		1.21		D/T
C17		c		-13.8		30.0		4.82		D/T
C18		c		-28.4		18.7		1.78		D/T
C19		c		1.2		-10.5		4.14		D/T
C20		c		-3.2		-21.9		4.69		D/T
C21		c		11.2		-23.5		50.98		T
C22		c		12.2		-19.6		18.63		T
C23		c		27.6		24.3		84.93		T
C24		c		28.4		10.8		22.75		T
C25		c		-0.4		27.3		63.53		T
C26		c		-2.6		5.8		67.01		T
C27		c		25.2		-1.9		87.09		T
C28		c		25.1		-12.1		18.04		T
C29		c		-9.3		27.4		71.39		T
C30		c		22.4		9.0		42.3		T
C31		c		14.5		-0.1		84.41		T
C32		c		-19.6		-9.3		97.98		T
C33		c		-18.8		3.1		23.58		T
C34		c		-19.4		15.0		44.54		T
C35		c		7.8		24.0		84.6		T
C36		c		-21.5		-25.4		50.81		T
C37		c		11.0		-28.3		81.45		T
C38		c		-20.8		6.1		90.49		T
C39		c		15.7		-7.0		19.35		T
C40		c		6.9		25.0		67.31		T
