StringID		Type		X		Y		Demand		ServiceBy
D0		d		-28.7		-31.5		0.0		-
C1		c		11.5		-32.5		4.49		D/T
C2		c		-13.7		23.1		0.81		D/T
C3		c		-5.3		-7.7		4.57		D/T
C4		c		-11.2		-36.6		2.67		D/T
C5		c		-5.1		24.8		1.68		D/T
C6		c		-37.6		35.5		2.46		D/T
C7		c		5.8		-20.6		2.5		D/T
C8		c		25.9		-8.2		1.2		D/T
C9		c		35.1		26.5		2.83		D/T
C10		c		8.2		11.5		2.65		D/T
C11		c		-14.5		-15.3		1.76		D/T
C12		c		-39.2		29.0		0.92		D/T
C13		c		16.9		-5.3		0.55		D/T
C14		c		-28.9		19.1		1.32		D/T
C15		c		-9.7		-0.0		3.75		D/T
C16		c		-4.6		-6.3		1.84		D/T
C17		c		-19.8		20.6		2.29		D/T
C18		c		33.5		-26.3		3.61		D/T
C19		c		9.5		-13.8		0.68		D/T
C20		c		-13.1		-19.8		3.14		D/T
C21		c		10.4		10.2		4.46		D/T
C22		c		-37.8		39.7		1.46		D/T
C23		c		30.6		-23.8		1.33		D/T
C24		c		-17.1		20.8		1.12		D/T
C25		c		23.7		-32.8		2.54		D/T
C26		c		-17.4		10.7		1.76		D/T
C27		c		7.2		21.9		3.24		D/T
C28		c		-16.2		-26.2		3.51		D/T
C29		c		36.4		-28.5		3.94		D/T
C30		c		-6.7		-0.4		3.58		D/T
C31		c		-5.7		33.8		1.61		D/T
C32		c		-14.7		-6.0		0.65		D/T
C33		c		-13.9		-8.9		2.29		D/T
C34		c		7.7		8.4		1.26		D/T
C35		c		-35.3		-35.1		4.93		D/T
C36		c		26.8		6.7		1.29		D/T
C37		c		37.2		8.9		0.85		D/T
C38		c		-25.4		8.2		1.98		D/T
C39		c		-13.8		16.1		4.39		D/T
C40		c		17.8		23.9		4.43		D/T
C41		c		23.4		38.8		89.32		T
C42		c		-0.7		26.0		57.36		T
C43		c		-12.5		6.9		52.08		T
C44		c		-4.3		-18.2		86.45		T
C45		c		2.7		-11.1		81.06		T
C46		c		34.3		33.3		23.64		T
C47		c		-7.4		13.2		92.88		T
C48		c		-1.0		-27.5		15.81		T
C49		c		7.0		0.9		87.64		T
C50		c		-21.3		-10.8		15.9		T
C51		c		-4.7		9.4		67.18		T
C52		c		-14.3		-1.2		26.66		T
C53		c		-31.9		-12.1		35.07		T
C54		c		-6.5		20.8		27.02		T
C55		c		-0.5		-0.7		84.01		T
C56		c		-21.4		4.4		32.31		T
C57		c		-13.0		-36.2		70.57		T
C58		c		-7.5		16.8		60.4		T
C59		c		-32.3		14.7		31.22		T
C60		c		-27.3		-34.2		27.95		T
C61		c		39.1		3.0		98.77		T
C62		c		-30.9		-2.4		6.92		T
C63		c		5.0		35.4		88.24		T
C64		c		1.3		10.1		94.87		T
C65		c		-7.9		7.2		10.73		T
C66		c		-31.7		13.6		51.55		T
C67		c		10.5		7.7		61.29		T
C68		c		-25.2		14.9		5.85		T
C69		c		-21.2		-25.5		89.31		T
C70		c		-15.8		-38.8		5.22		T
C71		c		38.7		17.0		9.55		T
C72		c		39.2		-17.1		69.82		T
C73		c		-14.5		30.2		89.3		T
C74		c		-24.7		-8.5		95.4		T
C75		c		-14.3		30.2		43.96		T
C76		c		22.5		4.1		65.21		T
C77		c		26.7		7.4		87.42		T
C78		c		-39.3		34.6		94.54		T
C79		c		37.6		-13.8		75.71		T
C80		c		30.1		-8.6		10.91		T
