StringID		Type		X		Y		Demand		ServiceBy
D0		d		27.8		3.8		0.0		-
C1		c		-15.8		-4.6		2.61		D/T
C2		c		-9.7		30.7		4.52		D/T
C3		c		-8.6		19.7		1.67		D/T
C4		c		10.8		-18.0		0.73		D/T
C5		c		0.7		34.7		3.94		D/T
C6		c		-12.5		20.2		1.27		D/T
C7		c		-21.0		12.4		0.93		D/T
C8		c		2.9		-8.2		0.67		D/T
C9		c		-16.2		4.6		1.19		D/T
C10		c		-18.1		-24.5		2.34		D/T
C11		c		39.1		-1.8		1.53		D/T
C12		c		-2.1		-8.5		3.34		D/T
C13		c		37.4		-21.1		4.05		D/T
C14		c		-11.4		24.0		1.22		D/T
C15		c		-30.7		-38.7		3.12		D/T
C16		c		23.2		-10.7		3.74		D/T
C17		c		-15.2		-38.8		3.26		D/T
C18		c		-39.3		13.2		4.62		D/T
C19		c		-19.6		-20.3		3.56		D/T
C20		c		1.9		-32.1		3.19		D/T
C21		c		1.3		-9.8		3.05		D/T
C22		c		18.4		-37.6		0.57		D/T
C23		c		33.3		27.4		1.69		D/T
C24		c		-24.7		-2.1		4.72		D/T
C25		c		-28.8		10.5		3.65		D/T
C26		c		-7.2		9.4		1.04		D/T
C27		c		-13.6		-26.0		4.65		D/T
C28		c		-25.9		-21.3		2.24		D/T
C29		c		4.6		-2.6		4.9		D/T
C30		c		-3.2		35.8		2.27		D/T
C31		c		13.0		-7.2		1.54		D/T
C32		c		-17.7		34.5		1.63		D/T
C33		c		-36.5		-2.3		2.63		D/T
C34		c		-39.7		31.1		4.97		D/T
C35		c		25.2		-39.0		2.38		D/T
C36		c		34.5		-19.4		3.0		D/T
C37		c		25.9		-37.7		4.92		D/T
C38		c		22.2		11.1		3.24		D/T
C39		c		37.4		2.1		2.87		D/T
C40		c		35.0		9.2		3.2		D/T
C41		c		21.3		5.7		3.25		D/T
C42		c		-29.3		36.1		4.22		D/T
C43		c		-10.2		37.8		2.39		D/T
C44		c		8.1		-10.4		3.19		D/T
C45		c		-26.6		36.4		3.46		D/T
C46		c		-5.6		28.8		1.83		D/T
C47		c		-14.2		-4.6		1.5		D/T
C48		c		-22.7		36.3		3.81		D/T
C49		c		24.8		-17.6		1.61		D/T
C50		c		22.2		-35.5		2.46		D/T
C51		c		25.6		-20.1		4.91		D/T
C52		c		-19.8		15.2		4.92		D/T
C53		c		-27.1		-36.3		4.71		D/T
C54		c		8.5		-26.7		4.65		D/T
C55		c		-11.8		13.6		4.37		D/T
C56		c		12.6		-25.7		2.77		D/T
C57		c		-36.0		-19.9		2.1		D/T
C58		c		5.0		32.6		2.37		D/T
C59		c		3.1		17.0		0.55		D/T
C60		c		19.2		-12.8		1.02		D/T
C61		c		34.8		7.1		3.54		D/T
C62		c		16.7		19.2		0.91		D/T
C63		c		-32.4		16.2		1.1		D/T
C64		c		-32.5		21.7		3.59		D/T
C65		c		28.4		-4.8		1.08		D/T
C66		c		4.4		15.3		1.58		D/T
C67		c		-35.9		-5.5		4.25		D/T
C68		c		6.0		34.0		4.29		D/T
C69		c		-27.0		11.7		2.98		D/T
C70		c		34.0		3.6		3.58		D/T
C71		c		-36.2		5.3		4.26		D/T
C72		c		21.7		4.9		2.1		D/T
C73		c		-6.7		-8.5		4.04		D/T
C74		c		12.8		34.3		2.55		D/T
C75		c		10.0		14.6		0.69		D/T
C76		c		15.7		38.9		3.49		D/T
C77		c		-3.9		37.4		2.89		D/T
C78		c		1.0		37.1		3.79		D/T
C79		c		-5.0		-37.9		1.89		D/T
C80		c		28.7		-17.4		1.63		D/T
C81		c		37.2		-20.3		2.67		D/T
C82		c		-21.9		31.7		4.74		D/T
C83		c		25.4		39.6		3.11		D/T
C84		c		25.0		22.0		2.38		D/T
C85		c		-17.1		21.5		3.36		D/T
C86		c		-22.8		6.4		1.31		D/T
C87		c		11.6		-31.1		0.72		D/T
C88		c		24.4		34.4		4.3		D/T
C89		c		-24.5		-9.9		2.97		D/T
C90		c		5.7		-0.2		4.71		D/T
C91		c		28.9		25.8		1.13		D/T
C92		c		39.9		-31.5		4.46		D/T
C93		c		15.3		-10.1		3.22		D/T
C94		c		24.0		-8.2		1.06		D/T
C95		c		19.3		-5.4		2.55		D/T
C96		c		19.5		-39.1		3.77		D/T
C97		c		26.1		32.2		1.33		D/T
C98		c		22.7		-16.7		0.93		D/T
C99		c		36.2		38.2		2.52		D/T
C100		c		32.6		2.5		3.92		D/T
C101		c		-36.1		-17.5		0.57		D/T
C102		c		22.3		-10.1		1.71		D/T
C103		c		17.9		-27.5		0.86		D/T
C104		c		-30.4		-20.5		1.54		D/T
C105		c		39.5		-8.1		2.41		D/T
C106		c		27.1		-14.4		4.77		D/T
C107		c		5.4		-7.1		2.45		D/T
C108		c		22.5		34.8		2.69		D/T
C109		c		29.5		-3.7		4.8		D/T
C110		c		16.1		-36.2		3.36		D/T
C111		c		31.0		28.6		4.69		D/T
C112		c		-16.5		-16.3		3.82		D/T
C113		c		28.6		18.2		3.41		D/T
C114		c		-35.8		-18.3		1.94		D/T
C115		c		-10.4		28.5		0.73		D/T
C116		c		-12.6		2.3		3.32		D/T
C117		c		-35.2		27.2		3.18		D/T
C118		c		14.1		-38.3		2.83		D/T
C119		c		-36.4		-18.3		1.24		D/T
C120		c		5.5		7.6		0.64		D/T
C121		c		23.3		-8.4		4.09		D/T
C122		c		-29.9		2.8		1.64		D/T
C123		c		-11.3		-23.6		4.55		D/T
C124		c		-20.3		18.5		4.33		D/T
C125		c		-18.5		-31.8		1.0		D/T
C126		c		22.7		31.7		1.13		D/T
C127		c		-29.7		18.8		4.21		D/T
C128		c		23.2		10.9		3.8		D/T
C129		c		-11.5		27.5		4.62		D/T
C130		c		-36.5		19.0		2.24		D/T
C131		c		2.9		22.0		2.31		D/T
C132		c		-5.3		32.0		4.36		D/T
C133		c		27.1		12.5		1.96		D/T
C134		c		37.6		-9.5		1.71		D/T
C135		c		27.0		18.7		1.89		D/T
C136		c		32.9		-28.9		0.86		D/T
C137		c		23.0		26.9		2.41		D/T
C138		c		-37.7		37.7		1.1		D/T
C139		c		-32.2		-38.2		3.31		D/T
C140		c		-22.8		-6.7		3.2		D/T
C141		c		33.7		-5.9		18.52		T
C142		c		-11.0		-26.5		45.48		T
C143		c		29.2		-13.0		42.36		T
C144		c		19.6		28.2		5.14		T
C145		c		-16.7		1.6		93.12		T
C146		c		12.1		9.1		13.8		T
C147		c		1.4		15.0		31.22		T
C148		c		23.9		-15.8		6.53		T
C149		c		-20.9		-25.1		14.14		T
C150		c		-37.5		15.9		54.58		T
C151		c		-14.9		-23.7		98.5		T
C152		c		-17.5		-34.3		16.67		T
C153		c		-14.5		36.1		42.69		T
C154		c		11.0		5.7		21.48		T
C155		c		-29.6		-4.6		56.44		T
C156		c		-38.2		2.5		56.99		T
C157		c		0.8		32.6		15.07		T
C158		c		-7.0		-30.8		54.93		T
C159		c		-23.0		28.4		17.89		T
C160		c		-30.8		-0.3		10.25		T
C161		c		24.1		28.9		67.42		T
C162		c		9.2		35.0		69.45		T
C163		c		-23.9		35.4		30.71		T
C164		c		-39.3		-30.5		49.0		T
C165		c		-18.0		-18.1		16.6		T
C166		c		-29.2		15.8		52.39		T
C167		c		31.3		-16.7		10.87		T
C168		c		2.9		-31.6		58.74		T
C169		c		-14.6		6.3		61.99		T
C170		c		-31.2		22.1		6.81		T
C171		c		-32.4		19.9		46.33		T
C172		c		-30.5		-13.5		18.58		T
C173		c		32.9		28.4		27.8		T
C174		c		19.2		-6.6		73.01		T
C175		c		-36.4		27.6		13.14		T
C176		c		16.4		27.6		68.92		T
C177		c		-29.7		-14.3		61.66		T
C178		c		-36.3		-4.5		15.24		T
C179		c		16.1		-0.4		75.17		T
C180		c		8.1		22.6		23.42		T
C181		c		9.0		-8.9		87.73		T
C182		c		19.6		1.3		23.3		T
C183		c		-34.7		34.4		18.43		T
C184		c		23.4		36.9		40.36		T
C185		c		15.8		3.7		87.34		T
C186		c		26.7		-5.9		38.18		T
C187		c		-17.1		39.8		83.49		T
C188		c		26.6		23.1		89.3		T
C189		c		15.0		14.7		10.26		T
C190		c		-15.0		19.8		70.16		T
C191		c		-38.5		2.9		22.65		T
C192		c		-14.7		-6.2		66.0		T
C193		c		-28.2		-15.9		30.43		T
C194		c		11.1		-38.3		59.49		T
C195		c		0.6		-11.3		58.58		T
C196		c		29.1		0.1		29.11		T
C197		c		39.0		32.1		28.21		T
C198		c		10.7		34.2		27.54		T
C199		c		14.7		-3.0		27.93		T
C200		c		12.7		4.8		10.69		T
