StringID		Type		X		Y		Demand		ServiceBy
D0		d		-38.4		37.1		0.0		-
C1		c		-8.4		-24.3		3.17		D/T
C2		c		-6.3		23.3		0.91		D/T
C3		c		21.9		2.7		1.24		D/T
C4		c		13.7		-13.4		1.4		D/T
C5		c		39.6		-35.1		3.82		D/T
C6		c		-13.1		10.8		1.64		D/T
C7		c		33.3		24.0		3.63		D/T
C8		c		32.3		-28.4		3.76		D/T
C9		c		-0.8		-25.0		2.37		D/T
C10		c		-7.4		25.5		3.58		D/T
C11		c		23.1		-13.1		3.03		D/T
C12		c		-20.7		-22.1		3.08		D/T
C13		c		3.2		15.4		3.31		D/T
C14		c		-16.1		25.6		3.59		D/T
C15		c		23.6		6.0		4.35		D/T
C16		c		-24.9		-4.7		1.3		D/T
C17		c		31.2		-15.1		1.45		D/T
C18		c		-38.6		29.4		2.42		D/T
C19		c		-2.0		17.3		3.06		D/T
C20		c		38.0		3.0		4.87		D/T
C21		c		4.2		14.1		1.25		D/T
C22		c		25.2		-11.9		0.53		D/T
C23		c		11.1		6.1		0.59		D/T
C24		c		-22.7		34.2		3.42		D/T
C25		c		39.3		13.4		1.24		D/T
C26		c		-14.2		16.1		2.04		D/T
C27		c		-3.6		-17.9		3.5		D/T
C28		c		10.9		19.2		0.53		D/T
C29		c		13.5		-3.1		97.36		T
C30		c		22.1		18.4		31.51		T
C31		c		24.4		4.1		15.65		T
C32		c		-33.9		29.4		29.85		T
C33		c		-7.0		-10.1		22.0		T
C34		c		22.8		-19.9		30.12		T
C35		c		-15.5		-2.0		17.16		T
C36		c		14.0		15.8		27.9		T
C37		c		-8.0		5.6		56.38		T
C38		c		-15.2		-28.2		94.0		T
C39		c		39.4		-21.5		9.03		T
C40		c		-3.3		5.7		13.77		T
