StringID		Type		X		Y		Demand		ServiceBy
D0		d		14.3		-0.3		0.0		-
C1		c		10.4		16.7		4.29		D/T
C2		c		-18.1		11.5		2.44		D/T
C3		c		-2.8		-12.0		1.13		D/T
C4		c		-9.0		6.1		2.72		D/T
C5		c		19.0		3.0		3.83		D/T
C6		c		16.1		2.6		3.59		D/T
C7		c		12.5		-11.7		2.56		D/T
C8		c		-2.6		-7.3		4.39		D/T
C9		c		16.0		-0.4		4.2		D/T
C10		c		-15.9		3.5		1.89		D/T
C11		c		12.7		-1.7		4.69		D/T
C12		c		-15.7		3.3		2.71		D/T
C13		c		-13.7		18.0		4.22		D/T
C14		c		-10.1		16.1		1.05		D/T
C15		c		-0.5		-10.8		1.82		D/T
C16		c		-14.4		-9.8		1.81		D/T
C17		c		-4.2		-5.5		3.57		D/T
C18		c		-0.2		14.8		2.76		D/T
C19		c		19.9		-8.2		1.0		D/T
C20		c		-14.3		14.9		1.83		D/T
C21		c		4.1		-2.7		2.62		D/T
C22		c		18.0		11.9		2.95		D/T
C23		c		16.8		15.6		1.2		D/T
C24		c		-0.2		18.4		1.08		D/T
C25		c		13.0		3.6		2.87		D/T
C26		c		9.8		-6.6		3.1		D/T
C27		c		19.6		5.7		2.86		D/T
C28		c		13.4		0.1		1.63		D/T
C29		c		-4.1		15.9		3.18		D/T
C30		c		16.3		-0.4		4.78		D/T
C31		c		6.6		16.4		3.41		D/T
C32		c		2.1		-3.9		2.37		D/T
C33		c		-0.0		-9.4		2.52		D/T
C34		c		-4.5		-18.6		3.13		D/T
C35		c		18.1		10.9		3.51		D/T
C36		c		5.1		-11.9		1.77		D/T
C37		c		-18.3		-14.1		3.72		D/T
C38		c		14.1		18.4		4.48		D/T
C39		c		9.4		17.5		3.09		D/T
C40		c		0.6		9.7		2.63		D/T
C41		c		-19.7		-8.8		0.64		D/T
C42		c		8.0		-16.5		4.14		D/T
C43		c		-9.5		-3.3		1.36		D/T
C44		c		18.5		2.5		2.59		D/T
C45		c		16.7		-2.4		1.93		D/T
C46		c		-12.2		9.2		0.6		D/T
C47		c		18.1		7.0		4.09		D/T
C48		c		-9.6		4.3		1.0		D/T
C49		c		14.0		-17.8		1.06		D/T
C50		c		-9.9		-1.7		3.8		D/T
C51		c		-12.5		-19.2		1.34		D/T
C52		c		8.9		18.5		3.47		D/T
C53		c		-13.9		-19.1		2.46		D/T
C54		c		-14.4		-15.3		2.22		D/T
C55		c		6.2		-19.6		4.48		D/T
C56		c		1.4		-19.7		2.56		D/T
C57		c		-8.5		-18.4		1.7		D/T
C58		c		-4.2		-0.7		1.52		D/T
C59		c		-13.0		2.6		3.79		D/T
C60		c		10.2		-0.7		3.01		D/T
C61		c		-5.9		-16.2		3.94		D/T
C62		c		9.6		9.5		1.18		D/T
C63		c		14.7		10.9		2.84		D/T
C64		c		7.9		-5.3		1.56		D/T
C65		c		-5.3		4.6		2.23		D/T
C66		c		15.7		6.6		4.85		D/T
C67		c		-3.2		3.8		3.34		D/T
C68		c		8.3		-15.2		1.06		D/T
C69		c		17.0		-2.9		3.14		D/T
C70		c		15.7		-4.9		3.67		D/T
C71		c		13.0		-18.4		4.74		D/T
C72		c		-14.6		5.9		3.93		D/T
C73		c		-12.5		-8.8		4.47		D/T
C74		c		9.5		1.9		4.64		D/T
C75		c		-14.3		-11.5		2.92		D/T
C76		c		12.0		-16.1		3.3		D/T
C77		c		-17.2		17.3		3.85		D/T
C78		c		8.2		11.2		1.42		D/T
C79		c		-8.2		1.1		2.67		D/T
C80		c		3.3		10.5		1.33		D/T
C81		c		-5.2		11.5		3.79		D/T
C82		c		-6.5		13.3		3.88		D/T
C83		c		-15.1		-16.5		2.16		D/T
C84		c		-10.8		-16.9		3.36		D/T
C85		c		-11.3		7.4		3.08		D/T
C86		c		18.1		11.1		2.25		D/T
C87		c		-4.1		-14.3		4.78		D/T
C88		c		-17.9		-7.9		1.54		D/T
C89		c		0.2		0.1		4.43		D/T
C90		c		3.4		-1.6		0.84		D/T
C91		c		7.4		-10.8		3.23		D/T
C92		c		-9.1		-11.3		3.92		D/T
C93		c		13.9		-14.6		0.82		D/T
C94		c		-11.4		-14.1		1.82		D/T
C95		c		-0.0		14.0		0.82		D/T
C96		c		6.6		16.4		3.47		D/T
C97		c		-19.4		-0.6		0.81		D/T
C98		c		-1.5		-9.3		2.31		D/T
C99		c		12.6		9.6		1.65		D/T
C100		c		11.2		11.6		4.93		D/T
C101		c		8.9		-6.0		4.03		D/T
C102		c		-5.1		17.9		1.13		D/T
C103		c		8.8		8.7		4.38		D/T
C104		c		10.6		-14.6		1.92		D/T
C105		c		-19.8		2.4		4.57		D/T
C106		c		-15.7		-2.2		0.55		D/T
C107		c		5.3		13.5		3.37		D/T
C108		c		8.0		6.8		4.79		D/T
C109		c		-12.7		10.9		1.06		D/T
C110		c		17.6		-6.0		1.57		D/T
C111		c		-16.9		-3.1		1.58		D/T
C112		c		16.6		17.7		0.54		D/T
C113		c		9.4		-1.2		1.95		D/T
C114		c		1.8		11.0		4.64		D/T
C115		c		-5.0		16.6		1.58		D/T
C116		c		2.0		9.6		3.62		D/T
C117		c		11.1		-17.2		3.34		D/T
C118		c		-17.8		-7.7		2.68		D/T
C119		c		7.4		-15.0		4.64		D/T
C120		c		-9.7		-18.4		0.5		D/T
C121		c		-6.9		-3.9		0.74		D/T
C122		c		18.8		-1.5		4.55		D/T
C123		c		4.8		11.0		1.7		D/T
C124		c		-5.6		8.2		3.83		D/T
C125		c		-15.0		16.4		4.79		D/T
C126		c		-8.5		18.2		4.72		D/T
C127		c		-7.2		-1.0		3.99		D/T
C128		c		17.1		-15.5		3.86		D/T
C129		c		-17.3		12.9		2.8		D/T
C130		c		-15.8		10.2		3.55		D/T
C131		c		5.4		12.3		2.27		D/T
C132		c		11.2		-11.1		3.41		D/T
C133		c		-9.0		12.9		1.4		D/T
C134		c		-13.4		7.1		1.93		D/T
C135		c		-15.8		-17.9		4.72		D/T
C136		c		10.7		-12.8		3.69		D/T
C137		c		-3.1		-8.8		3.19		D/T
C138		c		3.3		-5.1		3.32		D/T
C139		c		13.9		12.4		2.08		D/T
C140		c		-11.9		-16.8		1.1		D/T
C141		c		-9.6		13.2		26.53		T
C142		c		7.9		10.0		74.09		T
C143		c		7.0		-2.3		64.4		T
C144		c		-9.4		-1.5		97.3		T
C145		c		9.7		1.5		28.62		T
C146		c		-12.7		14.6		40.15		T
C147		c		-9.2		-17.0		91.5		T
C148		c		-19.2		-2.2		96.07		T
C149		c		9.2		-8.5		46.83		T
C150		c		-9.1		8.3		89.37		T
C151		c		-14.6		-3.0		63.7		T
C152		c		-0.9		-1.5		70.6		T
C153		c		-12.9		-16.7		63.58		T
C154		c		-4.3		16.5		83.4		T
C155		c		-12.2		-1.7		86.48		T
C156		c		15.3		-18.8		99.64		T
C157		c		17.2		10.5		38.04		T
C158		c		-15.3		-14.4		64.83		T
C159		c		-5.6		-2.0		83.24		T
C160		c		-11.0		-9.9		73.03		T
C161		c		-5.9		15.2		5.73		T
C162		c		-18.1		14.7		49.69		T
C163		c		-8.6		13.1		34.59		T
C164		c		18.5		1.8		13.07		T
C165		c		-2.6		2.7		41.11		T
C166		c		12.1		-5.7		42.58		T
C167		c		13.2		7.3		96.32		T
C168		c		-17.9		9.2		62.66		T
C169		c		4.0		-17.9		58.38		T
C170		c		4.3		-15.6		9.81		T
C171		c		4.2		10.6		76.2		T
C172		c		-3.2		-16.5		54.95		T
C173		c		13.6		18.7		77.45		T
C174		c		13.2		-11.2		42.87		T
C175		c		-5.7		15.2		30.53		T
C176		c		-10.6		-19.3		25.77		T
C177		c		-1.3		-15.3		34.17		T
C178		c		-5.6		3.5		18.82		T
C179		c		-9.9		9.0		46.72		T
C180		c		11.3		-15.3		62.39		T
C181		c		-13.1		-9.5		12.47		T
C182		c		-15.3		0.6		50.9		T
C183		c		-10.1		15.1		92.21		T
C184		c		-12.9		14.0		74.26		T
C185		c		-0.8		-17.2		76.06		T
C186		c		10.0		-19.9		39.53		T
C187		c		9.5		-14.6		36.78		T
C188		c		10.5		-7.6		97.28		T
C189		c		-10.1		6.8		14.47		T
C190		c		14.1		-2.9		88.88		T
C191		c		17.5		-1.8		39.49		T
C192		c		4.7		-16.0		31.65		T
C193		c		1.4		5.9		35.02		T
C194		c		14.2		-19.0		75.56		T
C195		c		-15.1		8.3		87.81		T
C196		c		-3.2		2.1		93.66		T
C197		c		8.3		7.5		23.08		T
C198		c		-9.6		9.2		34.4		T
C199		c		11.9		-0.4		27.3		T
C200		c		19.0		12.4		83.6		T
