StringID		Type		X		Y		Demand		ServiceBy
D0		d		-4.8		-31.5		0.0		-
C1		c		19.6		-20.1		0.69		D/T
C2		c		38.7		3.8		3.59		D/T
C3		c		3.3		4.2		1.83		D/T
C4		c		-32.5		-0.7		0.79		D/T
C5		c		-1.3		-9.4		1.1		D/T
C6		c		6.3		-25.9		0.62		D/T
C7		c		14.5		-23.4		2.56		D/T
C8		c		20.9		-39.8		2.73		D/T
C9		c		34.3		-18.9		3.26		D/T
C10		c		30.8		14.2		1.72		D/T
C11		c		33.9		-9.3		1.34		D/T
C12		c		-6.4		15.8		1.73		D/T
C13		c		2.9		21.5		2.46		D/T
C14		c		38.7		-5.4		1.22		D/T
C15		c		-35.1		-0.5		4.75		D/T
C16		c		38.3		-37.7		0.85		D/T
C17		c		28.1		10.0		4.42		D/T
C18		c		-35.3		-26.4		2.47		D/T
C19		c		26.5		39.4		2.34		D/T
C20		c		-25.2		7.2		1.18		D/T
C21		c		21.2		-25.6		1.8		D/T
C22		c		-10.0		-13.5		3.34		D/T
C23		c		21.6		-23.4		0.71		D/T
C24		c		-24.3		-34.5		0.58		D/T
C25		c		36.2		-15.9		4.11		D/T
C26		c		23.7		-30.6		3.22		D/T
C27		c		-34.2		10.2		2.97		D/T
C28		c		6.4		11.2		2.36		D/T
C29		c		9.6		26.6		4.2		D/T
C30		c		-7.7		-1.2		2.5		D/T
C31		c		18.0		32.5		1.39		D/T
C32		c		22.1		11.7		1.71		D/T
C33		c		-14.7		-26.8		1.5		D/T
C34		c		16.2		-10.7		4.59		D/T
C35		c		-30.0		-16.3		4.45		D/T
C36		c		-30.7		17.0		0.72		D/T
C37		c		-15.1		27.7		3.72		D/T
C38		c		9.1		-4.4		2.73		D/T
C39		c		12.5		-7.6		4.26		D/T
C40		c		-30.4		21.7		0.94		D/T
C41		c		-6.9		-34.3		0.7		D/T
C42		c		-38.2		-0.3		1.49		D/T
C43		c		-22.5		31.1		2.84		D/T
C44		c		-26.5		8.0		0.83		D/T
C45		c		13.9		-4.9		4.59		D/T
C46		c		13.4		-25.7		4.06		D/T
C47		c		25.1		-11.9		4.52		D/T
C48		c		-7.1		-36.4		2.14		D/T
C49		c		21.5		37.4		0.78		D/T
C50		c		34.4		25.6		3.7		D/T
C51		c		-28.3		33.4		3.76		D/T
C52		c		2.7		1.7		0.68		D/T
C53		c		-34.6		34.3		1.04		D/T
C54		c		30.9		-37.5		1.01		D/T
C55		c		-12.5		37.2		3.24		D/T
C56		c		-21.3		25.4		3.07		D/T
C57		c		-13.6		6.5		3.94		D/T
C58		c		-37.1		-2.8		4.45		D/T
C59		c		-15.6		-39.6		4.52		D/T
C60		c		-21.0		35.9		2.85		D/T
C61		c		-20.0		-4.1		2.55		D/T
C62		c		-36.7		-15.7		2.93		D/T
C63		c		-23.9		-27.5		2.83		D/T
C64		c		-24.5		32.1		1.37		D/T
C65		c		-17.8		36.3		3.3		D/T
C66		c		-28.0		-3.6		2.69		D/T
C67		c		-12.7		0.7		0.67		D/T
C68		c		25.3		-1.1		4.31		D/T
C69		c		23.7		10.2		2.48		D/T
C70		c		9.2		-6.4		4.36		D/T
C71		c		5.0		36.0		0.69		D/T
C72		c		12.2		-36.2		2.75		D/T
C73		c		16.6		14.4		1.11		D/T
C74		c		5.5		-32.7		3.95		D/T
C75		c		7.9		33.5		0.67		D/T
C76		c		20.7		16.6		3.29		D/T
C77		c		-11.0		-15.2		3.86		D/T
C78		c		-7.4		3.6		4.23		D/T
C79		c		-12.1		-2.3		3.96		D/T
C80		c		9.6		-5.5		2.76		D/T
C81		c		13.2		38.8		4.88		D/T
C82		c		-20.9		-4.7		3.42		D/T
C83		c		-8.6		-2.4		3.38		D/T
C84		c		-11.1		39.9		3.59		D/T
C85		c		39.5		-4.2		4.61		D/T
C86		c		35.7		-4.3		3.95		D/T
C87		c		-3.7		-19.4		4.55		D/T
C88		c		14.1		0.8		3.14		D/T
C89		c		9.4		38.2		0.67		D/T
C90		c		-1.2		30.5		3.89		D/T
C91		c		24.0		-11.8		4.44		D/T
C92		c		26.3		-7.8		2.3		D/T
C93		c		-17.4		12.4		4.87		D/T
C94		c		31.4		4.8		3.14		D/T
C95		c		-6.9		32.3		4.94		D/T
C96		c		-15.4		-29.4		1.12		D/T
C97		c		34.0		-9.7		0.57		D/T
C98		c		-7.8		-29.3		2.9		D/T
C99		c		22.0		-12.0		2.86		D/T
C100		c		-8.7		26.4		0.89		D/T
C101		c		-1.7		-37.7		3.55		D/T
C102		c		-32.7		10.9		3.23		D/T
C103		c		-21.9		-37.4		2.57		D/T
C104		c		-37.6		-29.5		4.23		D/T
C105		c		-20.5		-29.5		4.46		D/T
C106		c		-9.7		-15.6		4.98		D/T
C107		c		7.0		-35.9		1.16		D/T
C108		c		-3.2		-18.4		1.03		D/T
C109		c		-23.2		-9.3		3.09		D/T
C110		c		8.6		11.8		1.68		D/T
C111		c		-30.7		-11.9		2.4		D/T
C112		c		-39.5		-28.8		2.3		D/T
C113		c		-6.2		30.3		9.35		T
C114		c		-15.1		-2.9		9.79		T
C115		c		-3.0		1.2		13.97		T
C116		c		12.0		39.8		37.98		T
