StringID		Type		X		Y		Demand		ServiceBy
D0		d		-7.5		-5.6		0.0		-
C1		c		-1.6		-11.6		4.95		D/T
C2		c		-9.4		16.6		2.08		D/T
C3		c		-13.2		18.8		3.74		D/T
C4		c		9.8		-7.3		1.73		D/T
C5		c		-1.4		21.0		1.89		D/T
C6		c		-3.8		-20.6		3.23		D/T
C7		c		7.5		5.2		1.7		D/T
C8		c		-10.2		10.0		1.27		D/T
C9		c		20.5		-3.6		1.35		D/T
C10		c		17.9		-2.6		3.19		D/T
C11		c		-19.3		13.8		3.08		D/T
C12		c		-29.4		-22.9		1.14		D/T
C13		c		15.5		8.2		3.72		D/T
C14		c		11.2		-29.7		3.63		D/T
C15		c		4.1		3.6		4.9		D/T
C16		c		2.6		-21.6		0.63		D/T
C17		c		29.6		-9.6		4.6		D/T
C18		c		19.1		-1.2		4.66		D/T
C19		c		19.7		-10.7		3.4		D/T
C20		c		20.1		-13.4		4.18		D/T
C21		c		29.1		-1.3		2.25		D/T
C22		c		21.0		-25.0		4.48		D/T
C23		c		14.1		7.1		4.02		D/T
C24		c		8.3		-13.3		1.18		D/T
C25		c		2.4		10.5		1.3		D/T
C26		c		15.3		-3.3		2.67		D/T
C27		c		1.1		28.9		4.75		D/T
C28		c		-7.2		-26.3		0.92		D/T
C29		c		-15.5		-0.7		2.26		D/T
C30		c		-23.4		-14.8		1.91		D/T
C31		c		-29.7		-29.9		2.87		D/T
C32		c		-28.5		-7.3		2.9		D/T
C33		c		-0.7		-25.5		3.94		D/T
C34		c		-2.2		9.8		4.13		D/T
C35		c		20.7		-26.1		0.53		D/T
C36		c		-11.5		25.8		1.06		D/T
C37		c		22.8		-26.1		2.2		D/T
C38		c		-10.2		10.8		1.89		D/T
C39		c		-2.0		22.5		3.79		D/T
C40		c		-25.9		-11.9		2.69		D/T
C41		c		-6.4		26.9		1.79		D/T
C42		c		-15.6		12.0		4.69		D/T
C43		c		15.6		-22.9		3.74		D/T
C44		c		3.8		-16.3		4.39		D/T
C45		c		9.4		-12.0		4.15		D/T
C46		c		1.6		-9.2		3.22		D/T
C47		c		6.0		19.7		1.38		D/T
C48		c		24.1		-27.4		2.51		D/T
C49		c		19.4		-10.7		2.08		D/T
