StringID		Type		X		Y		Demand		ServiceBy
D0		d		-0.8		-19.1		0.0		-
C1		c		-6.2		13.8		4.9		D/T
C2		c		24.1		10.4		0.55		D/T
C3		c		14.6		-0.6		2.25		D/T
C4		c		8.3		-10.5		3.08		D/T
C5		c		15.3		6.3		1.74		D/T
C6		c		-1.5		19.9		2.39		D/T
C7		c		-15.0		-18.9		1.06		D/T
C8		c		-18.2		-3.7		1.4		D/T
C9		c		21.4		-5.6		2.61		D/T
C10		c		1.7		17.3		3.37		D/T
C11		c		17.4		26.1		2.12		D/T
C12		c		8.3		-28.7		1.32		D/T
C13		c		-11.6		28.1		3.46		D/T
C14		c		4.5		7.4		0.88		D/T
C15		c		3.8		-3.7		2.79		D/T
C16		c		-3.0		-24.7		1.97		D/T
C17		c		4.8		-28.0		1.21		D/T
C18		c		-13.3		-3.9		2.32		D/T
C19		c		24.7		-17.0		0.97		D/T
C20		c		7.2		25.4		2.89		D/T
C21		c		10.2		0.5		4.69		D/T
C22		c		-12.7		-14.9		4.38		D/T
C23		c		-15.5		11.4		3.99		D/T
C24		c		4.7		-29.8		2.94		D/T
C25		c		27.5		-26.8		2.96		D/T
C26		c		-14.3		14.5		3.5		D/T
C27		c		-14.8		-13.4		3.68		D/T
C28		c		-0.0		14.6		2.58		D/T
C29		c		13.6		-12.8		54.24		T
C30		c		11.2		17.6		81.99		T
C31		c		16.2		-2.7		85.05		T
C32		c		18.1		-9.2		15.11		T
C33		c		-17.3		16.1		54.1		T
C34		c		-4.9		1.0		29.67		T
C35		c		26.6		-20.0		26.33		T
C36		c		-4.6		-10.9		94.71		T
C37		c		-13.1		4.5		26.32		T
C38		c		14.0		-27.0		38.21		T
C39		c		29.1		-5.4		13.13		T
C40		c		24.6		-10.2		67.12		T
