StringID		Type		X		Y		Demand		ServiceBy
D0		d		0.1		8.3		0.0		-
C1		c		-18.1		3.2		2.17		D/T
C2		c		18.3		-19.6		1.77		D/T
C3		c		-5.4		1.6		2.79		D/T
C4		c		-10.6		15.7		1.45		D/T
C5		c		-14.2		-10.5		4.43		D/T
C6		c		-16.1		-7.8		2.48		D/T
C7		c		7.4		-4.1		3.83		D/T
C8		c		1.9		4.4		1.02		D/T
C9		c		3.8		14.3		1.27		D/T
C10		c		-10.3		10.9		4.88		D/T
C11		c		16.5		-3.5		3.31		D/T
C12		c		10.9		-9.6		4.27		D/T
C13		c		-18.6		-12.1		2.88		D/T
C14		c		0.2		-7.9		2.77		D/T
C15		c		10.3		5.5		1.91		D/T
C16		c		0.9		11.8		0.76		D/T
C17		c		6.8		-16.7		3.41		D/T
C18		c		14.1		15.1		0.74		D/T
C19		c		16.3		18.8		4.27		D/T
C20		c		-19.8		18.4		2.56		D/T
C21		c		19.7		13.8		4.44		D/T
C22		c		-8.1		0.6		4.64		D/T
C23		c		13.7		-13.1		1.32		D/T
C24		c		8.4		19.1		2.37		D/T
C25		c		4.2		-2.7		2.49		D/T
C26		c		4.8		-7.5		3.48		D/T
C27		c		-3.9		2.5		2.66		D/T
C28		c		-15.2		-20.0		4.69		D/T
C29		c		-0.2		-1.9		42.13		T
C30		c		-10.2		9.1		40.48		T
C31		c		-9.6		-5.1		92.42		T
C32		c		16.8		8.2		25.56		T
C33		c		12.4		-11.1		80.53		T
C34		c		8.3		-0.3		98.83		T
C35		c		-11.0		4.8		87.04		T
C36		c		5.4		3.2		74.87		T
C37		c		3.4		13.5		15.43		T
C38		c		2.5		12.5		53.48		T
C39		c		-14.0		14.2		95.86		T
C40		c		3.8		-3.8		61.84		T
