StringID		Type		X		Y		Demand		ServiceBy
D0		d		3.5		-11.3		0.0		-
C1		c		13.0		12.7		2.89		D/T
C2		c		12.7		-16.6		0.64		D/T
C3		c		-19.8		9.6		2.92		D/T
C4		c		7.1		-17.9		3.68		D/T
C5		c		4.6		7.9		0.73		D/T
C6		c		-15.4		5.2		1.68		D/T
C7		c		-12.4		-15.0		3.8		D/T
C8		c		0.0		-11.6		4.74		D/T
C9		c		-12.9		-3.1		1.8		D/T
C10		c		-3.5		-15.7		2.05		D/T
C11		c		-2.7		1.7		2.63		D/T
C12		c		15.0		-2.6		4.85		D/T
C13		c		9.1		8.5		3.27		D/T
C14		c		-7.8		-16.5		4.15		D/T
C15		c		-10.5		10.5		2.46		D/T
C16		c		7.2		0.8		4.18		D/T
C17		c		-9.2		-16.8		2.26		D/T
C18		c		-8.5		13.6		2.37		D/T
C19		c		-10.0		19.7		4.84		D/T
C20		c		5.2		7.6		3.45		D/T
C21		c		9.7		7.1		2.34		D/T
C22		c		10.4		-12.5		2.42		D/T
C23		c		-10.6		18.4		1.44		D/T
C24		c		16.3		-5.0		2.79		D/T
C25		c		-13.6		9.8		1.86		D/T
C26		c		7.9		8.9		3.62		D/T
C27		c		-17.9		1.5		3.13		D/T
C28		c		-2.2		4.8		4.29		D/T
C29		c		15.8		18.9		4.75		D/T
C30		c		-17.7		5.4		4.55		D/T
C31		c		13.0		16.8		2.48		D/T
C32		c		19.3		12.6		1.64		D/T
C33		c		-3.0		8.9		2.39		D/T
C34		c		12.9		5.5		0.56		D/T
C35		c		4.3		17.5		4.14		D/T
C36		c		-16.1		18.3		2.0		D/T
C37		c		5.6		-5.4		1.25		D/T
C38		c		-16.9		-0.7		4.22		D/T
C39		c		-9.9		-15.4		1.94		D/T
C40		c		-3.0		14.0		2.2		D/T
C41		c		-16.8		19.1		4.78		D/T
C42		c		-0.4		-3.9		4.78		D/T
C43		c		6.7		-19.0		0.54		D/T
C44		c		-16.9		15.5		4.22		D/T
C45		c		15.4		9.1		2.75		D/T
C46		c		-10.4		1.2		4.12		D/T
C47		c		19.7		16.8		1.05		D/T
C48		c		-7.9		17.9		3.33		D/T
C49		c		-9.0		18.0		2.15		D/T
C50		c		8.5		-14.1		3.71		D/T
C51		c		1.2		-12.6		2.58		D/T
C52		c		6.3		-1.5		3.68		D/T
C53		c		6.0		10.3		2.71		D/T
C54		c		10.8		13.3		2.23		D/T
C55		c		-19.3		16.7		4.81		D/T
C56		c		12.9		2.2		1.52		D/T
C57		c		14.9		-1.3		4.7		D/T
C58		c		-4.7		13.9		4.76		D/T
C59		c		-0.7		3.5		2.07		D/T
C60		c		9.2		-6.5		3.35		D/T
C61		c		-10.9		15.6		3.87		D/T
C62		c		-2.4		2.8		0.63		D/T
C63		c		0.9		-11.4		1.27		D/T
C64		c		6.7		2.4		4.59		D/T
C65		c		4.5		-15.1		3.29		D/T
C66		c		-3.8		-3.2		4.28		D/T
C67		c		-6.5		8.7		3.3		D/T
C68		c		-15.6		-3.6		2.36		D/T
C69		c		7.1		1.7		2.3		D/T
C70		c		-9.3		18.4		2.78		D/T
C71		c		-16.3		8.9		3.85		D/T
C72		c		15.2		2.7		3.76		D/T
C73		c		-8.0		-10.9		2.72		D/T
C74		c		-11.0		-14.3		2.06		D/T
C75		c		19.6		0.2		4.18		D/T
C76		c		0.1		2.8		3.07		D/T
C77		c		1.8		-19.6		3.32		D/T
C78		c		11.8		17.0		1.56		D/T
C79		c		-18.7		-13.4		2.15		D/T
C80		c		15.6		-4.4		1.94		D/T
C81		c		5.6		7.1		1.78		D/T
C82		c		-4.2		1.5		2.48		D/T
C83		c		2.5		5.6		2.04		D/T
C84		c		15.2		-10.0		0.58		D/T
C85		c		-11.7		-17.8		1.39		D/T
C86		c		3.6		14.3		1.18		D/T
C87		c		12.3		-6.5		2.36		D/T
C88		c		18.0		-3.4		3.14		D/T
C89		c		-14.4		-5.2		2.55		D/T
C90		c		-19.5		-0.1		3.25		D/T
C91		c		4.0		11.9		1.49		D/T
C92		c		15.7		-6.4		4.89		D/T
C93		c		2.3		-4.8		1.44		D/T
C94		c		-11.7		2.5		1.07		D/T
C95		c		18.0		-9.8		3.28		D/T
C96		c		-7.0		-10.5		4.63		D/T
C97		c		8.3		-3.0		4.6		D/T
C98		c		-13.7		-11.2		3.37		D/T
C99		c		19.1		-0.5		3.67		D/T
C100		c		19.7		-8.7		3.18		D/T
C101		c		2.6		-5.0		2.72		D/T
C102		c		-5.5		0.7		4.83		D/T
C103		c		-17.1		6.7		4.95		D/T
C104		c		10.9		-9.3		1.54		D/T
C105		c		-11.5		-0.2		1.18		D/T
C106		c		11.7		-9.9		1.57		D/T
C107		c		-7.6		11.0		0.63		D/T
